activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18827185,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,CHEMBL4303084,,2020,,CHEMBL160,CYCLOSPORINE,CHEMBL160,5.24,False,http://www.openphacts.org/units/Nanomolar,3133943,=,52,True,=,,IC50,nM,,5820.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,5.82
,18827186,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,,CHEMBL4303084,,2020,,CHEMBL254219,DIGITOXIN,CHEMBL254219,,False,http://www.openphacts.org/units/Nanomolar,3133944,<,52,True,<,,IC50,nM,,230.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,0.23
,18827187,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,,CHEMBL4303084,,2020,,CHEMBL1751,DIGOXIN,CHEMBL1751,6.72,False,http://www.openphacts.org/units/Nanomolar,3133945,=,52,True,=,,IC50,nM,,190.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,0.19
,18827188,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)O)C4O)C3=O,,,CHEMBL4303084,,2020,,CHEMBL1526240,DIHYDROGAMBOGIC ACID,CHEMBL1526240,4.87,False,http://www.openphacts.org/units/Nanomolar,3133946,=,52,True,=,,IC50,nM,,13370.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,13.37
,18827189,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,,,CHEMBL4303084,,2020,,CHEMBL487,DROLOXIFENE,CHEMBL487,5.18,False,http://www.openphacts.org/units/Nanomolar,3133947,=,52,True,=,,IC50,nM,,6600.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.6
,18827190,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,,,CHEMBL4303084,,2020,,CHEMBL184412,DRONEDARONE,CHEMBL184412,5.41,False,http://www.openphacts.org/units/Nanomolar,3133948,=,52,True,=,,IC50,nM,,3920.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.92
,18827191,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL4303084,,2020,,CHEMBL305660,EBASTINE,CHEMBL305660,5.16,False,http://www.openphacts.org/units/Nanomolar,3133949,=,52,True,=,,IC50,nM,,6920.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.92
,18827192,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,,,CHEMBL4303084,,2020,,CHEMBL461101,ELTROMBOPAG,CHEMBL461101,5.08,False,http://www.openphacts.org/units/Nanomolar,3133950,=,52,True,=,,IC50,nM,,8270.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,8.27
,18827193,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,,,CHEMBL4303084,,2020,,CHEMBL3301622,GILTERITINIB,CHEMBL3301622,5.17,False,http://www.openphacts.org/units/Nanomolar,3133951,=,52,True,=,,IC50,nM,,6760.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.76
,18827194,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,,,CHEMBL4303084,,2020,,CHEMBL496,HEXACHLOROPHENE,CHEMBL496,6.05,False,http://www.openphacts.org/units/Nanomolar,3133952,=,52,True,=,,IC50,nM,,900.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,0.9
,18827195,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,CHEMBL4303084,,2020,,CHEMBL1200848,HYDROXYPROGESTERONE CAPROATE,CHEMBL1200848,5.20,False,http://www.openphacts.org/units/Nanomolar,3133953,=,52,True,=,,IC50,nM,,6300.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.3
,18827196,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC1(C)C=Cc2c(c3c(c4c(=O)c(-c5ccc(O)cc5)coc24)OC(C)(C)CC3)O1,,,CHEMBL4303084,,2020,,CHEMBL1410068,,CHEMBL1410068,5.49,False,http://www.openphacts.org/units/Nanomolar,3133954,=,52,True,=,,IC50,nM,,3220.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.22
,18827197,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,,,,CHEMBL4303084,,2020,,CHEMBL4303716,,CHEMBL4303716,5.35,False,http://www.openphacts.org/units/Nanomolar,3133955,=,52,True,=,,IC50,nM,,4510.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,4.51
,18827198,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,,,CHEMBL4303084,,2020,,CHEMBL2010601,IVACAFTOR,CHEMBL2010601,5.18,False,http://www.openphacts.org/units/Nanomolar,3133956,=,52,True,=,,IC50,nM,,6570.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.57
,18827199,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,,,CHEMBL4303084,,2020,,CHEMBL2403108,CERITINIB,CHEMBL2403108,5.54,False,http://www.openphacts.org/units/Nanomolar,3133957,=,52,True,=,,IC50,nM,,2860.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,2.86
,18827200,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,CHEMBL4303084,,2020,,CHEMBL506569,LANATOSIDE C,CHEMBL506569,,False,http://www.openphacts.org/units/Nanomolar,3133958,>,52,True,>,,IC50,nM,,50000.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,50.0
,18827201,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,,,CHEMBL4303084,,2020,,CHEMBL841,LOPERAMIDE,CHEMBL841,5.03,False,http://www.openphacts.org/units/Nanomolar,3133959,=,52,True,=,,IC50,nM,,9270.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,9.27
,18827202,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,,,CHEMBL4303084,,2020,,CHEMBL729,LOPINAVIR,CHEMBL729,5.04,False,http://www.openphacts.org/units/Nanomolar,3133960,=,52,True,=,,IC50,nM,,9120.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,9.12
,18827203,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,,,CHEMBL4303084,,2020,,CHEMBL2107831,LUSUTROMBOPAG,CHEMBL2107831,5.42,False,http://www.openphacts.org/units/Nanomolar,3133961,=,52,True,=,,IC50,nM,,3780.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.78
,18827204,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,,,CHEMBL4303084,,2020,,CHEMBL416956,MEFLOQUINE,CHEMBL416956,5.36,False,http://www.openphacts.org/units/Nanomolar,3133962,=,52,True,=,,IC50,nM,,4330.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,4.33
,18827205,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,,,CHEMBL4303084,,2020,,CHEMBL73451,MEQUITAZINE,CHEMBL73451,5.14,False,http://www.openphacts.org/units/Nanomolar,3133963,=,52,True,=,,IC50,nM,,7280.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,7.28
,18827206,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,,,CHEMBL4303084,,2020,,CHEMBL1448,NICLOSAMIDE,CHEMBL1448,6.55,False,http://www.openphacts.org/units/Nanomolar,3133964,=,52,True,=,,IC50,nM,,280.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,0.28
,18827207,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)=CCc1c2c(c3occ(-c4ccc(O)cc4)c(=O)c3c1O)C=CC(C)(C)O2,,,CHEMBL4303084,,2020,,CHEMBL238188,OSAJIN,CHEMBL238188,5.41,False,http://www.openphacts.org/units/Nanomolar,3133965,=,52,True,=,,IC50,nM,,3870.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.87
,18827208,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,,CHEMBL4303084,,2020,,CHEMBL3353410,OSIMERTINIB,CHEMBL3353410,5.49,False,http://www.openphacts.org/units/Nanomolar,3133966,=,52,True,=,,IC50,nM,,3260.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.26
,18827209,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O.O.O.O.O.O.O.O.O,,,CHEMBL4303084,,2020,,CHEMBL1889436,OUABAIN,CHEMBL222863,,False,http://www.openphacts.org/units/Nanomolar,3133967,<,52,True,<,,IC50,nM,,97.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,0.097
,18827210,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,,,CHEMBL4303084,,2020,,CHEMBL2105450,OXYCLOZANIDE,CHEMBL2105450,5.43,False,http://www.openphacts.org/units/Nanomolar,3133968,=,52,True,=,,IC50,nM,,3710.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.71
,18827211,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,,CHEMBL4303084,,2020,,CHEMBL47050,PENFLURIDOL,CHEMBL47050,5.30,False,http://www.openphacts.org/units/Nanomolar,3133969,=,52,True,=,,IC50,nM,,5010.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,5.01
,18827212,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,,,CHEMBL4303084,,2020,,CHEMBL75880,PERHEXILINE,CHEMBL75880,5.20,False,http://www.openphacts.org/units/Nanomolar,3133970,=,52,True,=,,IC50,nM,,6380.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.38
,18827213,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ccc(/N=N/c2ccccc2)c(N)n1,,,CHEMBL4303084,,2020,,CHEMBL1242,PHENAZOPYRIDINE,CHEMBL1242,4.55,False,http://www.openphacts.org/units/Nanomolar,3133971,=,52,True,=,,IC50,nM,,28000.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,28.0
